window_start,window_end,leg_count,total_odds,stake,payout,profit,legs
2025-09-20 22:00:00+00:00,2025-09-20 22:00:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - England Championship] Blackburn Rovers vs Ipswich Town | Blackburn Rovers +0.50@1.93 || Portsmouth vs Sheffield Wednesday | Sheffield Wednesday +1.00@1.93 || Norwich City vs Wrexham | Wrexham +0.50@1.93 || Sheffield United vs Charlton Athletic | Charlton Athletic +0.50@1.93
2025-09-20 16:00:00+00:00,2025-09-20 16:00:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - Japan J1 League] Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93
2025-09-20 19:30:00+00:00,2025-09-20 19:30:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - England Championship] Queens Park Rangers vs Stoke City | Queens Park Rangers +0.00@1.93 || Queens Park Rangers vs Stoke City | Queens Park Rangers +0.00@1.93 || Queens Park Rangers vs Stoke City | Queens Park Rangers +0.00@1.93 || Queens Park Rangers vs Stoke City | Queens Park Rangers +0.00@1.93
2025-09-20 02:00:00+00:00,2025-09-20 02:00:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - Netherlands Eredivisie] Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93
2025-09-20 02:30:00+00:00,2025-09-20 02:30:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - Germany Bundesliga] Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93
2025-09-23 17:00:00+00:00,2025-09-23 17:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Japan J1 League] Tokyo vs Avispa Fukuoka | Tokyo -0.25@1.93 || Fagiano Okayama vs Yokohama | Yokohama +0.25@1.93 || Tokyo vs Avispa Fukuoka | Tokyo -0.25@1.93
2025-09-23 02:45:00+00:00,2025-09-23 02:45:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Italy Serie A] Napoli vs Pisa | Pisa +1.50@1.93 || Napoli vs Pisa | Pisa +1.50@1.93 || Napoli vs Pisa | Pisa +1.50@1.93
2025-09-21 22:00:00+00:00,2025-09-21 22:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - England Championship] Bristol City vs Oxford United | Oxford United +0.75@1.93 || Bristol City vs Oxford United | Oxford United +0.75@1.93 || Bristol City vs Oxford United | Oxford United +0.75@1.93
2025-09-21 23:30:00+00:00,2025-09-21 23:30:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Germany Bundesliga] Bayer Leverkusen vs Borussia M'gladbach | Borussia M'gladbach +1.00@1.93 || Bayer Leverkusen vs Borussia M'gladbach | Borussia M'gladbach +1.00@1.93 || Bayer Leverkusen vs Borussia M'gladbach | Borussia M'gladbach +1.00@1.93
2025-09-22 00:00:00+00:00,2025-09-22 00:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Italy Serie A] Fiorentina vs Como | Como +0.25@1.93 || Fiorentina vs Como | Como +0.25@1.93 || Fiorentina vs Como | Como +0.25@1.93
2025-09-21 18:15:00+00:00,2025-09-21 18:15:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Netherlands Eredivisie] PEC Zwolle vs Go Ahead Eagles | Go Ahead Eagles +0.25@1.93 || PEC Zwolle vs Go Ahead Eagles | Go Ahead Eagles +0.25@1.93 || PEC Zwolle vs Go Ahead Eagles | Go Ahead Eagles +0.25@1.93
2025-09-21 18:30:00+00:00,2025-09-21 18:30:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Italy Serie A] Lazio vs Roma | Roma +0.00@1.93 || Lazio vs Roma | Roma +0.00@1.93 || Lazio vs Roma | Roma +0.00@1.93
2025-09-21 10:30:00+00:00,2025-09-21 15:30:00+00:00,3,7.1333,100.0,713.33,613.33,[MIXED] SJ Earthquakes vs St. Louis City | St. Louis City +0.75@1.93 || LA Galaxy vs FC Cincinnati | FC Cincinnati +0.00@1.93 || Ulsan vs Anyang | Anyang +0.75@1.93
2025-09-21 08:30:00+00:00,2025-09-21 08:30:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - USA MLS] Houston Dynamo vs Portland Timbers | Houston Dynamo -0.50@1.93 || FC Dallas vs Colorado Rapids | FC Dallas -0.25@1.93 || Minnesota United vs Chicago Fire | Chicago Fire +0.25@1.93
2025-09-20 22:00:00+00:00,2025-09-20 22:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - England Championship] Blackburn Rovers vs Ipswich Town | Blackburn Rovers +0.50@1.93 || Portsmouth vs Sheffield Wednesday | Sheffield Wednesday +1.00@1.93 || Norwich City vs Wrexham | Wrexham +0.50@1.93
2025-09-20 16:00:00+00:00,2025-09-20 16:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Japan J1 League] Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93 || Nagoya Grampus vs Shonan Bellmare | Shonan Bellmare +0.75@1.93
2025-09-20 19:30:00+00:00,2025-09-20 19:30:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - England Championship] Queens Park Rangers vs Stoke City | Queens Park Rangers +0.00@1.93 || Queens Park Rangers vs Stoke City | Queens Park Rangers +0.00@1.93 || Queens Park Rangers vs Stoke City | Queens Park Rangers +0.00@1.93
2025-09-20 02:00:00+00:00,2025-09-20 02:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Netherlands Eredivisie] Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93 || Sparta Rotterdam vs Twente | Twente +0.00@1.93
2025-09-20 02:30:00+00:00,2025-09-20 02:30:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Germany Bundesliga] Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93
